text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
But only the standout modeling talent were chosen as our final 14,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Prepare for an adventure of a lifetime,happiness,fear,excitement,neutral,strong,mild,False,False,False,False
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
With twists and turns at every corner. This is a crazy competition,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
I don't want to trust anyone with some of the top names in the industry,fear,happiness,nervousness,neutral,moderate,mild,False,False,False,False
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,happiness,happiness,amusement,neutral,moderate,mild,True,False,False,False
We'll kill it on the international stage. The challenges are tough,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
"Okay, I got my work cut out for me now",happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
Let the games begin,happiness,fear,excitement,neutral,strong,mild,False,False,False,False
And I'm from Malaysia I,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Would say that I'm a model with brains. I am putting my degree in whole,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
It's now or never and by one last shot before I jump back into the world of academia,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
"Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Indonesia, of course, obviously, we're twins",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
Double power,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
