text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,happiness,happiness,optimism,confusion,moderate,moderate,True,False,True,False
But only the standout modeling talent were chosen as our final 14,happiness,happiness,pride,remorse,moderate,mild,True,False,False,False
Prepare for an adventure of a lifetime,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,disapproval,moderate,moderate,True,False,True,False
With twists and turns at every corner. This is a crazy competition,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
I don't want to trust anyone with some of the top names in the industry,fear,fear,nervousness,disapproval,moderate,moderate,True,False,True,False
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,happiness,happiness,amusement,disgust,moderate,moderate,True,False,True,False
We'll kill it on the international stage. The challenges are tough,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
"Okay, I got my work cut out for me now",happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
Let the games begin,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
And I'm from Malaysia I,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Would say that I'm a model with brains. I am putting my degree in whole,happiness,happiness,pride,confusion,moderate,moderate,True,False,True,False
It's now or never and by one last shot before I jump back into the world of academia,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
"Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Indonesia, of course, obviously, we're twins",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Double power,happiness,happiness,excitement,confusion,moderate,mild,True,False,False,False
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,happiness,pride,confusion,mild,moderate,True,False,False,False
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
I,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Really love fashion. So I started my fashion blog. I have,happiness,happiness,pride,confusion,moderate,moderate,True,False,True,False
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",happiness,happiness,pride,confusion,moderate,moderate,True,False,True,False
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
My,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
I just have this face. I'll just tell it,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"When I go to primary school, I get bullied",sadness,anger,sadness,disgust,moderate,moderate,False,False,True,False
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,happiness,happiness,optimism,disgust,strong,moderate,True,False,False,False
Welcome ladies,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,remorse,moderate,mild,True,False,False,False
I've worked for many global ad campaigns and worked alongside,happiness,happiness,pride,remorse,moderate,moderate,True,False,True,False
Supermodels like Cindy Crawford and Naomi Campbell,happiness,happiness,admiration,annoyance,moderate,mild,True,False,False,False
Wow Cara is so beautiful. She's tall and she's so poised,happiness,happiness,admiration,disgust,strong,moderate,True,False,False,False
Without first bringing out your amazing host,happiness,happiness,admiration,disgust,mild,moderate,True,False,False,False
the gorgeous,happiness,happiness,admiration,annoyance,moderate,mild,True,False,False,False
your superstar,happiness,happiness,admiration,confusion,moderate,mild,True,False,False,False
confidant the ever so graceful,happiness,happiness,admiration,remorse,moderate,mild,True,False,False,False
Cindy Bishop,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"It's Cindy she just walked across I was like, whoa",surprise,surprise,surprise,confusion,strong,mild,True,False,False,False
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",happiness,happiness,admiration,confusion,moderate,mild,True,False,False,False
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
It's all about celebrating,happiness,happiness,joy,confusion,moderate,moderate,True,False,True,False
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,happiness,happiness,admiration,remorse,moderate,moderate,True,False,True,False
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,happiness,happiness,desire,confusion,moderate,moderate,True,False,True,False
"99% I want to be the Asian list of model, but 100% I want to win",happiness,happiness,desire,confusion,strong,moderate,True,False,False,False
14 beautiful women from all across Asia,neutral,happiness,neutral,annoyance,mild,mild,False,False,True,False
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,remorse,moderate,mild,True,False,False,False
Starts right now,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"So Pia walks out with six male models, which are like half naked",happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
beautiful abs and I'm thinking,happiness,happiness,desire,confusion,mild,mild,True,False,True,False
Damn,anger,anger,annoyance,disgust,mild,moderate,True,False,False,False
So ladies meet your first special guest of the competition,happiness,happiness,excitement,confusion,moderate,mild,True,False,False,False
Can't believe that Pia Wurtzbach is actually here,surprise,surprise,surprise,confusion,moderate,moderate,True,False,True,False
They will be your co-stars for your first,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Gorilla lingerie catwalk challenge and that's happening right now,happiness,happiness,amusement,confusion,moderate,moderate,True,False,True,False
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
Usually I did better in runways and catwalk than Valerie,happiness,happiness,pride,remorse,mild,mild,True,False,True,False
So I'm confident in this challenge that I will win over her,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
Everyone looks really good in lingerie,happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
So intimidating,fear,fear,fear,surprise,moderate,moderate,True,False,True,False
"Hello girls, are you excited for your first challenge?",happiness,happiness,excitement,confusion,mild,moderate,True,False,False,False
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,happiness,neutral,curiosity,desire,mild,mild,False,False,True,False
"Then when you hit the end of the runway, you'll get another surprise",surprise,surprise,surprise,confusion,moderate,mild,True,False,False,False
So make sure you put your best foot forward because this is the first time,fear,fear,nervousness,disapproval,moderate,mild,True,False,False,False
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,fear,nervousness,surprise,strong,moderate,True,False,False,False
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,happiness,happiness,optimism,remorse,moderate,mild,True,False,False,False
"Not bad, got a little bit of sass and attitude there our sweet Maureen",happiness,happiness,amusement,disgust,mild,mild,True,False,True,False
Pleasantly surprised Valerie,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
Really want to make an impression that me and Valerie we're different in our own ways,happiness,happiness,desire,pride,moderate,moderate,True,False,True,False
This is her twin right Veronica,happiness,happiness,curiosity,pride,mild,mild,True,False,True,False
I like her walk a lot,happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
And her knees gorgeous,happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
"My plan was to be myself, be really laid-back and show who I am.",happiness,happiness,optimism,remorse,mild,mild,True,False,True,False
"Oh shit, what should I do, what should I do?",fear,surprise,nervousness,confusion,strong,moderate,False,False,False,False
I just feel like I need to update this.,surprise,neutral,realization,pride,mild,mild,False,False,True,False
"When I look around all of the girls, the girl who has the best body is me.",happiness,happiness,pride,confusion,moderate,mild,True,False,False,False
"Oh, she's fierce.",happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
It's a bit too literal again with the car.,anger,anger,annoyance,disgust,mild,mild,True,False,True,False
I'm gonna rock it out like Heidi Klum does on the runway.,happiness,happiness,excitement,confusion,moderate,mild,True,False,False,False
"All the girls got good walks this year, I'm excited to see that.",happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
Sweet.,happiness,happiness,approval,disgust,mild,mild,True,False,True,False
This is Cindy.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
Cindy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
You must be fierce to be fierce.,happiness,happiness,admiration,disgust,mild,moderate,True,False,False,False
Fierce.,happiness,happiness,admiration,disgust,mild,strong,True,False,False,False
I love the action part.,happiness,happiness,joy,confusion,mild,moderate,True,False,False,False
You must do a runway and then go back with heels.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Oh my god, it's painful as hell.",disgust,fear,disgust,disgust,strong,strong,False,True,True,False
"Okay, we've got Namita.",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Since I've done many runways, I feel like I have this down.",happiness,happiness,pride,remorse,moderate,mild,True,False,False,False
Oh shit.,surprise,surprise,surprise,confusion,moderate,mild,True,False,False,False
Well that was anywhere.,surprise,surprise,confusion,confusion,mild,mild,True,True,True,True
I was literally not expecting that.,surprise,surprise,surprise,confusion,moderate,mild,True,False,False,False
"Not sure about her walk though, she's a bit clumpy.",disgust,disgust,disapproval,disgust,mild,mild,True,False,True,False
But I like the attitude.,happiness,happiness,approval,disgust,mild,mild,True,False,True,False
"We have Clara. Oh my god, she's gorgeous.",happiness,happiness,admiration,confusion,moderate,moderate,True,False,True,False
I don't really like her walk.,disgust,disgust,disapproval,disgust,mild,moderate,True,False,False,False
Dorothy.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Beautiful face.,happiness,happiness,admiration,annoyance,mild,mild,True,False,True,False
Jennika.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Oh, I like that little wink at the end.",happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
Angelica.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Heidi.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I'm not sure about her walk.,disgust,surprise,disapproval,pride,mild,mild,False,False,True,False
She just looks like she's walking with her boyfriend down the catwalk.,happiness,happiness,amusement,annoyance,mild,mild,True,False,True,False
I don't have so much time to change the clothes.,anger,neutral,annoyance,surprise,mild,mild,False,False,True,False
I wear the high heels and run like crazy.,happiness,happiness,optimism,confusion,moderate,mild,True,False,False,False
Because my heart has a little bit like sick.,sadness,sadness,sadness,surprise,mild,moderate,True,False,False,False
I cannot breathe when I run.,fear,fear,fear,disapproval,moderate,moderate,True,False,True,False
Oh my god.,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
I cannot see anything. I don't get enough oxygen.,fear,fear,fear,confusion,strong,moderate,True,False,False,False
It's my time to find my second world.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
"If I don't finish this challenge, I will have to go home.",fear,fear,fear,disapproval,moderate,moderate,True,False,True,False
I need to do my challenge.,happiness,happiness,optimism,desire,moderate,mild,True,False,False,False
I just try my best.,happiness,happiness,optimism,remorse,moderate,mild,True,False,False,False
"Oh, damn girl.",happiness,anger,admiration,disgust,moderate,moderate,False,False,True,False
She's burning up that catwalk.,happiness,happiness,admiration,confusion,moderate,mild,True,False,False,False
She's got a lot of attitude.,happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
No way.,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
This is a challenge.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
This competition means a lot to me,happiness,happiness,optimism,confusion,moderate,moderate,True,False,True,False
because I wanted to do something to get out of my comfort zone,happiness,happiness,optimism,pride,moderate,moderate,True,False,True,False
and prove myself and everyone that I can do it.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
"Usually, Veronika always do the runway better than me.",neutral,happiness,neutral,disgust,mild,mild,False,False,True,False
"But this time, I will prove to Veronika that I can do better.",happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
"Three years ago, I already tried to be here and I never give up.",happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
"So, this is just a dream come true.",happiness,happiness,joy,confusion,strong,moderate,True,False,False,False
"To win this, I'm just going to focus on myself.",happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
I'm going to give my best.,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
My strategy for this competition is to be consistent in what I want,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
I'm not just an ordinary girl.,happiness,happiness,pride,remorse,moderate,mild,True,False,False,False
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
"Making it to this competition, it's a huge deal.",happiness,happiness,excitement,confusion,strong,strong,True,False,True,False
I wish to make it to the finish line and emerge first.,happiness,happiness,desire,remorse,strong,moderate,True,False,False,False
I think I deserve to be in Asia's Next Top Model,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
because I'm a very hardworking girl.,happiness,happiness,pride,pride,moderate,mild,True,True,False,False
I'm just going to put everything I have and nail it.,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
and prove to myself that I can make it in the modeling industry.,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
Great job!,happiness,happiness,approval,disgust,mild,mild,True,False,True,False
I see the judges at the end of the runway.,fear,neutral,nervousness,pride,moderate,mild,False,False,False,False
I don't know what's going on in their head.,surprise,surprise,confusion,confusion,moderate,moderate,True,True,True,True
I feel like I own it and I have a chance to win the challenge.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
People talk about my heart is sick.,sadness,sadness,sadness,surprise,moderate,moderate,True,False,True,False
I come here to win this competition.,happiness,happiness,optimism,remorse,strong,moderate,True,False,False,False
I think we got a good group of girls this year.,happiness,happiness,optimism,remorse,mild,mild,True,False,True,False
I do too.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
Yes! Yes!,happiness,happiness,excitement,confusion,strong,strong,True,False,True,False
"I see the pool and I'm like, I am in Bali.",happiness,happiness,excitement,confusion,strong,mild,True,False,False,False
"It's so surreal being in this competition, staying in a house like this.",happiness,surprise,excitement,confusion,moderate,moderate,False,False,True,False
"Goodies! Oh my God, yes. Freestyle.",happiness,happiness,excitement,confusion,strong,mild,True,False,False,False
We have all strong personalities.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"So guys, this is the rowdy Malaysian.",happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
I'm the nice one.,happiness,happiness,pride,remorse,mild,mild,True,False,True,False
It's good because we can talk to each other but it's bad at the same time,surprise,happiness,confusion,remorse,moderate,mild,False,False,False,False
I knew it!,surprise,surprise,realization,confusion,moderate,mild,True,False,False,False
I sleep with twins.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"They're twins, same personality.",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",surprise,neutral,confusion,disapproval,mild,mild,False,False,True,False
I cannot tell the difference.,surprise,surprise,confusion,pride,mild,mild,True,False,True,False
It's just so awkward.,fear,fear,embarrassment,disapproval,moderate,moderate,True,False,True,False
"I mean, sorry, first day.",fear,sadness,nervousness,disapproval,mild,mild,False,False,True,False
"Living with the other six girls, I don't know what to feel.",surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
I just hope that there's less drama.,neutral,fear,neutral,disapproval,mild,mild,False,False,True,False
"I just hope for the best, I think.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Guys, send me an email.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Hello, ladies.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Welcome to your new model house.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"As you're settling in, I must first explain to you how your scores work.",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"In order to keep you on your toes throughout this competition,",happiness,happiness,curiosity,disapproval,mild,moderate,True,False,False,False
each of you will earn a score after every challenge and photo shoot.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"And at the end of every week, these two scores will be combined",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
in order to determine who stays and who goes.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"As you've all successfully completed your first challenge,",happiness,happiness,approval,remorse,mild,mild,True,False,True,False
here's where you stand at this point.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Good luck, girls.",neutral,happiness,neutral,remorse,mild,mild,False,False,True,False
The one over Valerie is number one.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
And then with the other girls.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Yes!,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
It's me!,happiness,happiness,joy,confusion,strong,mild,True,False,False,False
I'm so happy.,happiness,happiness,joy,confusion,strong,moderate,True,False,False,False
Good!,happiness,happiness,approval,desire,mild,mild,True,False,True,False
And I got second!,surprise,happiness,surprise,confusion,moderate,mild,False,False,False,False
What? Second?,surprise,surprise,surprise,confusion,moderate,mild,True,False,False,False
"Valerie, what are you doing to me, man?",anger,anger,annoyance,confusion,moderate,moderate,True,False,True,False
You're taking my place.,sadness,anger,disappointment,disgust,moderate,moderate,False,False,True,False
It's supposed to be me.,sadness,sadness,disappointment,pride,moderate,mild,True,False,False,False
"Oh, my God!",surprise,surprise,surprise,confusion,strong,mild,True,False,False,False
I'm in top five.,happiness,happiness,excitement,remorse,strong,mild,True,False,False,False
"Maureen is third, and Jenica is fourth, and I'm the fifth.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",happiness,happiness,pride,confusion,moderate,moderate,True,False,True,False
"So, watch out for the Philippines!",happiness,happiness,pride,disapproval,moderate,mild,True,False,False,False
Whose name is on there?,happiness,happiness,curiosity,pride,mild,mild,True,False,True,False
Mine?,happiness,surprise,curiosity,confusion,mild,mild,False,False,True,False
"Namita, you're not in.",sadness,disgust,disappointment,disgust,moderate,mild,False,False,False,False
"Oh, my God.",surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
"F**k me, man.",anger,anger,annoyance,disgust,strong,strong,True,False,True,False
I didn't perform as how I wanted to or like how I would have.,sadness,sadness,disappointment,disgust,moderate,moderate,True,False,True,False
"Okay, bye, girls.",sadness,neutral,sadness,disapproval,mild,mild,False,False,True,False
"Don't say that, no.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"So, yeah.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Cindy Miao! Cindy Miao!,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
Check your old self and step up with confidence.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
Because you just might run into the new you.,happiness,happiness,optimism,realization,moderate,moderate,True,False,True,False
"Love, Cindy Miao.",happiness,happiness,caring,disapproval,mild,mild,True,False,True,False
Is that makeover?,happiness,happiness,curiosity,confusion,mild,mild,True,False,True,False
Who is that?,happiness,happiness,curiosity,pride,mild,mild,True,False,True,False
It's either a makeover or a snake.,happiness,happiness,curiosity,confusion,mild,mild,True,False,True,False
It's something to do with a snake.,happiness,happiness,curiosity,confusion,mild,mild,True,False,True,False
"We're all speculating, like, what could it be?",happiness,happiness,curiosity,pride,moderate,mild,True,False,False,False
But as a theme is expect the unexpected.,happiness,happiness,curiosity,desire,mild,mild,True,False,True,False
"I have no idea, but I'm excited to find out.",happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
"Welcome, ladies, to your first photo challenge.",happiness,neutral,excitement,confusion,moderate,mild,False,False,False,False
It's all about high fashion and high energy.,happiness,happiness,excitement,confusion,moderate,mild,True,False,False,False
And the theme is runaway model.,neutral,happiness,neutral,annoyance,mild,mild,False,False,True,False
"Yesterday, the challenge was a long marathon run,",neutral,neutral,neutral,annoyance,mild,mild,True,False,True,False
and now we're running again.,neutral,happiness,neutral,pride,mild,mild,False,False,True,False
"Okay, let's do this.",happiness,happiness,excitement,remorse,moderate,moderate,True,False,True,False
"So, ladies, it's time to meet your photographer",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"from Calibre Pictures, Mr. Joel Lim.",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Congratulations, ladies,",happiness,happiness,approval,remorse,moderate,mild,True,False,False,False
